type,amount,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
TRANSFER,3573.11,0.0,0.0,C422466055,223901.18,227474.28,0,0
PAYMENT,6141.99,337394.62,331252.63,M404619443,0.0,0.0,0,0
CASH_OUT,526504.25,0.0,0.0,C790886408,32111553.59,32638057.85,0,0
CASH_OUT,197988.87,41298.0,0.0,C2138706730,3507583.49,3705572.36,0,0
CASH_OUT,339577.33,0.0,0.0,C1650523697,1760353.29,2099930.62,0,0
CASH_OUT,80802.53,82733.0,1930.47,C975820363,0.0,80802.53,0,0
CASH_OUT,481983.27,0.0,0.0,C986811914,720006.28,1201989.55,0,0
PAYMENT,25734.01,31223.0,5488.99,M2041642290,0.0,0.0,0,0
CASH_IN,28045.58,11236.0,39281.58,C26634351,824424.75,796379.17,0,0
TRANSFER,47403.47,0.0,0.0,C296754846,106061.0,153464.47,0,0
PAYMENT,18014.32,34991.35,16977.03,M749698609,0.0,0.0,0,0
PAYMENT,63243.74,20448.0,0.0,M1607810981,0.0,0.0,0,0
CASH_OUT,104914.05,0.0,0.0,C1190333336,393781.46,498695.51,0,0
PAYMENT,6928.89,54355.0,47426.11,M1462352345,0.0,0.0,0,0
CASH_IN,156264.7,100696.0,256960.7,C939100063,4734940.81,4578676.11,0,0
CASH_OUT,213353.01,149076.0,0.0,C814884468,16431.43,229784.44,0,0
TRANSFER,283776.23,0.0,0.0,C1069053302,2837114.24,3120890.47,0,0
TRANSFER,2615164.09,0.0,0.0,C520322536,4314127.38,6929291.47,0,0
TRANSFER,1067071.85,59801.0,0.0,C1682708917,61493.19,1128565.03,0,0
CASH_OUT,208135.12,6911.0,0.0,C605644446,0.0,208135.12,0,0
CASH_OUT,439064.65,0.0,0.0,C933757407,2586588.34,3025652.99,0,0
PAYMENT,8519.49,0.0,0.0,M1794911664,0.0,0.0,0,0
CASH_OUT,265872.89,5810.34,0.0,C280164607,66618953.78,66884826.67,0,0
PAYMENT,1557.84,52033.0,50475.16,M69270541,0.0,0.0,0,0
CASH_OUT,459748.38,0.0,0.0,C1376656785,3849506.34,4309254.72,0,0
CASH_IN,89529.24,1479157.91,1568687.15,C1560693372,887607.82,798078.59,0,0
CASH_IN,40035.87,11208976.01,11249011.87,C198801629,529857.88,489822.01,0,0
CASH_OUT,177222.7,51022.0,0.0,C420762376,302730.38,2716785.65,0,0
PAYMENT,60934.58,454887.91,393953.33,M490430452,0.0,0.0,0,0
PAYMENT,16033.5,0.0,0.0,M218037771,0.0,0.0,0,0
CASH_OUT,37004.04,16143.0,0.0,C181815672,0.0,37004.04,0,0
CASH_OUT,86421.87,0.0,0.0,C1435632116,1049214.67,1135636.54,0,0
CASH_OUT,337906.36,82039.0,0.0,C22630227,0.0,339754.53,0,0
CASH_IN,173587.7,4481273.53,4654861.23,C1793296189,552280.3,378692.6,0,0
CASH_OUT,90888.3,122359.0,31470.7,C99178221,961632.52,1052520.82,0,0
CASH_OUT,291657.12,71655.0,0.0,C1754514156,12776.08,304433.2,0,0
CASH_OUT,110539.44,30704.0,0.0,C278432760,0.0,110539.44,0,0
TRANSFER,1404314.25,0.0,0.0,C2129436635,1628933.4,3033247.65,0,0
PAYMENT,5391.32,0.0,0.0,M1866070951,0.0,0.0,0,0
PAYMENT,21463.3,22126.0,662.7,M1194557693,0.0,0.0,0,0
PAYMENT,7690.32,89872.32,82182.0,M970929437,0.0,0.0,0,0
PAYMENT,12033.39,29964.0,17930.61,M1511636421,0.0,0.0,0,0
DEBIT,1888.05,0.0,0.0,C737718485,5451.44,7339.5,0,0
CASH_OUT,139786.59,122921.0,0.0,C898586448,70144.15,209930.74,0,0
TRANSFER,976482.59,19309.0,0.0,C1866350589,0.0,976482.59,0,0
PAYMENT,2002.82,60266.0,58263.18,M1400052186,0.0,0.0,0,0
PAYMENT,1498.37,0.0,0.0,M1638369057,0.0,0.0,0,0
DEBIT,3028.64,204474.0,201445.36,C937745219,309015.53,312044.17,0,0
CASH_OUT,206429.7,251612.0,45182.3,C1373399535,0.0,206429.7,0,0
CASH_OUT,55423.36,0.0,0.0,C1972301,1430353.47,1485776.83,0,0
CASH_IN,320932.64,261190.59,582123.22,C1362593914,620176.65,299244.01,0,0
CASH_OUT,463620.41,37060.0,0.0,C1270253141,0.0,463620.41,0,0
PAYMENT,6296.03,520.0,0.0,M646953002,0.0,0.0,0,0
PAYMENT,7196.97,4042.0,0.0,M1964012726,0.0,0.0,0,0
PAYMENT,837.82,21598.0,20760.18,M315925820,0.0,0.0,0,0
TRANSFER,4348980.16,0.0,0.0,C1608690046,5971277.84,10320258.0,0,0
TRANSFER,3329903.86,0.0,0.0,C80088316,5197873.6,8527777.46,0,0
TRANSFER,775399.07,80657.97,0.0,C856138432,970749.04,1746148.11,0,0
PAYMENT,9609.5,10230.0,620.5,M148614490,0.0,0.0,0,0
PAYMENT,287.04,0.0,0.0,M213881429,0.0,0.0,0,0
CASH_OUT,73884.39,9557.0,0.0,C1381840127,30718088.49,30791972.88,0,0
TRANSFER,832057.77,25698.0,0.0,C904672647,110719.64,942777.41,0,0
PAYMENT,27365.82,6183.09,0.0,M1730967,0.0,0.0,0,0
PAYMENT,6047.68,0.0,0.0,M579265680,0.0,0.0,0,0
CASH_OUT,223990.6,172.0,0.0,C802935635,0.0,314931.23,0,0
CASH_OUT,240255.22,0.0,0.0,C1623134404,261818.71,502073.93,0,0
CASH_IN,275514.4,3287444.22,3562958.61,C1175146832,3612577.65,3337063.26,0,0
PAYMENT,9317.75,196683.61,187365.86,M417969873,0.0,0.0,0,0
TRANSFER,615519.25,14281.0,0.0,C265487063,0.0,615519.25,0,0
CASH_IN,528094.72,4505180.42,5033275.14,C1086206575,9310295.84,8782201.12,0,0
CASH_IN,183343.72,29705.0,213048.72,C473795019,0.0,0.0,0,0
CASH_IN,179225.0,30580.0,209805.0,C995081855,373114.6,193889.6,0,0
PAYMENT,386.66,21090.0,20703.34,M786393822,0.0,0.0,0,0
CASH_IN,39482.0,55245.0,94727.0,C59742559,125814.59,86332.59,0,0
PAYMENT,11259.06,0.0,0.0,M1858575701,0.0,0.0,0,0
PAYMENT,18457.34,3252.0,0.0,M459405546,0.0,0.0,0,0
CASH_OUT,100420.85,0.0,0.0,C1469454215,1875948.82,2902123.56,0,0
CASH_OUT,67373.94,2142.0,0.0,C373940878,25255.0,233161.1,0,0
CASH_OUT,209768.93,18089.0,0.0,C1323473914,0.0,209768.93,0,0
CASH_IN,25085.77,106591.0,131676.77,C1452730762,2672585.6,2647499.84,0,0
PAYMENT,3476.61,32236.0,28759.39,M359559691,0.0,0.0,0,0
CASH_OUT,52415.76,0.0,0.0,C2114409250,317658.67,370074.43,0,0
CASH_OUT,201585.63,0.0,0.0,C1428171686,1423840.71,1625426.34,0,0
CASH_OUT,219491.48,783258.1,563766.62,C1411451832,1222609.87,1442101.35,0,0
TRANSFER,2850012.15,0.0,0.0,C1075751039,4179183.85,7029196.0,0,0
CASH_OUT,57906.0,0.0,0.0,C1149273771,8175994.67,8233900.66,0,0
CASH_IN,123885.29,5652053.8,5775939.09,C214187874,125778.61,1893.32,0,0
PAYMENT,4699.57,122404.0,117704.43,M235716086,0.0,0.0,0,0
